,name,id,sj_0,sj_1,in_offset,out_offset,dx,roughness,shape,g1,g2,g3,g4,Q_0,h_0,ctrl,A_s,A_c,C,dx_uk,dx_dk,C_uk,C_dk,friction_method
61,62,61,44,72,0,0,318.2112,120.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
62,63,62,46,70,0,0,406.66416000000004,120.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
63,64,63,73,72,0,0,109.91088,120.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
64,65,64,72,71,0,0,121.92,120.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
65,66,65,71,70,0,0,91.44,120.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
66,67,66,70,69,0,0,335.28000000000003,100.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
67,68,67,69,68,0,0,121.92,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
68,69,68,48,68,0,0,396.24,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
69,70,69,68,67,0,0,274.32,100.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
70,71,70,67,66,0,0,121.92,100.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
71,72,71,50,66,0,0,182.88,100.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
72,73,72,51,50,0,0,60.96,100.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
73,74,73,50,49,0,0,91.44,100.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
74,75,74,48,49,0,0,274.32,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
75,76,75,49,52,0,0,304.8,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
76,77,76,52,53,0,0,155.41752,120.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
77,78,77,54,53,0,0,68.15328,120.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
78,79,78,53,55,0,0,304.8,120.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
79,80,79,52,56,0,0,336.65160000000003,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
80,81,80,56,57,0,0,91.44,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
81,82,81,57,58,0,0,762.0,120.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
82,83,82,57,59,0,0,213.36,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
83,84,83,59,60,0,0,243.84,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
84,85,84,60,76,0,0,701.71056,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
85,86,85,76,77,0,0,213.36,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
86,87,86,77,78,0,0,86.19744000000001,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
87,88,87,78,79,0,0,152.4,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
88,90,88,79,80,0,0,275.9964,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
89,92,89,60,61,0,0,274.32,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
90,93,90,61,62,0,0,213.36,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
91,94,91,62,63,0,0,30.48,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
92,95,92,63,64,0,0,91.44,100.0,force_main,0.1016,1e-05,0,0,0,0.1016,False,0.001,0,0,0,0,0,0,hw
93,96,93,65,64,0,0,243.84,100.0,force_main,0.1016,1e-05,0,0,0,0.1016,False,0.001,0,0,0,0,0,0,hw
94,97,94,56,65,0,0,304.8,100.0,force_main,0.1016,1e-05,0,0,0,0.1016,False,0.001,0,0,0,0,0,0,hw
95,98,95,86,65,0,0,487.68,100.0,force_main,0.1016,1e-05,0,0,0,0.1016,False,0.001,0,0,0,0,0,0,hw
96,99,96,66,86,0,0,152.4,100.0,force_main,0.1016,1e-05,0,0,0,0.1016,False,0.001,0,0,0,0,0,0,hw
97,100,97,64,75,0,0,487.68,100.0,force_main,0.1016,1e-05,0,0,0,0.1016,False,0.001,0,0,0,0,0,0,hw
98,101,98,75,74,0,0,182.88,100.0,force_main,0.1016,1e-05,0,0,0,0.1016,False,0.001,0,0,0,0,0,0,hw
99,102,99,74,69,0,0,243.84,100.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
100,103,100,69,122,0,0,335.28000000000003,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
101,104,101,122,116,0,0,96.37776,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
102,105,102,117,116,0,0,396.24,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
